short_p_id,total_visits,max_streak,avg_time_lag,seniority_days,visits_per_month,recency,weekend_ratio,attendance_momentum,attendance_variance,is_churn,age,gender,main_density_class,customer_postal,att_rate,income,population_density_sq_mi
3,56.0,6.0,103.98185941043084,881,1.9047619047619049,246,0.08928569834183958,1.0,109.44784394656789,1,43.0,F,1st Tier Suburban,92336,0.125805066552168,107823.0,3951.1
33,294.0,5.0,4.770975056689342,881,10.0,246,0.020408162571150936,1.0,8.826215785192298,1,42.0,M,Super Urban,94619,0.315880464312176,127507.0,1544.3
37,147.0,4.0,7.695201037613489,770,5.719844357976654,46,0.03401360312832632,0.3333333333333333,9.05806465982714,0,28.0,F,1st Tier Suburban,92869,0.198717948717949,138523.0,3980.1
44,52.0,1.0,32.13971539456662,772,2.018111254851229,355,0.24999995192308616,1.0,39.624809552138515,1,69.0,F,1st Tier Suburban,80923,0.189295977011494,98212.0,4429.6
53,230.0,6.0,3.0532724505327247,656,10.502283105022832,87,0.134782602835539,1.0,2.7522539167569353,1,69.0,M,Light Urban,90660,0.353030303030303,80793.0,8129.5
55,63.0,2.0,17.196682464454977,843,2.2393364928909953,284,0.0,1.0,17.460660772931888,1,31.0,M,2nd Tier Suburban,92630,0.068193008370261,126168.0,6234.399999999999
58,137.0,6.0,10.619047619047619,755,5.436507936507937,83,0.2481751643667763,1.0,14.999615258389666,1,32.0,F,Light Urban,92701,0.181578947368421,65797.0,16846.4
70,66.0,4.0,45.61826923076923,1039,1.903846153846154,88,0.13636361570248245,1.0,46.00256774944697,1,46.0,F,1st Tier Suburban,91913,0.0681818181818182,128633.0,5305.2
71,105.0,6.0,17.801742919389977,458,6.862745098039215,566,0.21904759818594302,1.0,22.562623119245277,1,28.0,F,1st Tier Suburban,77095,0.174259681093394,111124.0,4588.7
81,119.0,3.0,16.26719278466742,886,4.024802705749718,241,0.08403360638373056,1.0,28.194136625884553,1,51.0,F,1st Tier Suburban,93041,0.0594149908592322,72837.0,2180.6
103,39.0,9.0,75.30588235294118,424,2.7529411764705882,31,0.2307691715976483,0.25,70.51917033777153,0,40.0,F,1st Tier Suburban,92610,0.092378752886836,158738.0,1664.2
132,258.0,5.0,10.228219696969697,1055,7.329545454545454,72,0.015503875368066848,1.0,14.866228117410651,0,40.0,F,Light Urban,94086,0.306331800495225,171672.0,11240.1
133,94.0,5.0,32.7291280148423,1077,2.6159554730983303,50,0.06382978044364038,0.25,31.601730400836324,0,36.0,F,2nd Tier Suburban,75094,0.104469854469854,147716.0,3330.9
136,195.0,9.0,16.274099883855982,860,6.7944250871080145,244,0.17948717028270922,1.0,21.069632959667995,1,26.0,M,2nd Tier Suburban,91941,0.228273464658169,110447.0,3956.2
149,37.0,3.0,61.923963133640555,867,1.2788018433179724,260,0.0810810591672813,1.0,56.987007377831254,1,42.0,F,1st Tier Suburban,97267,0.132043530834341,87556.0,4603.7
153,98.0,5.0,20.495927601809953,1104,2.660633484162896,23,0.07142856413994243,5.0,24.17643914743911,0,23.0,F,2nd Tier Suburban,94588,0.122383252818035,182833.0,1171.3
155,186.0,4.0,7.007187780772687,1112,5.013477088948787,15,0.1935483766909475,1.0,7.253995580814018,0,72.0,M,1st Tier Suburban,92117,0.2,104505.0,6485.300000000001
158,35.0,3.0,26.779783393501805,553,1.8953068592057762,193,0.37142846530615276,1.0,23.674447108312393,1,53.0,F,2nd Tier Suburban,77578,0.0648648648648649,113915.0,603.3
